Word,Valence,Extremity,Emotionality
comforting,7.8,3.3,5.78
triumph,7.8,3.3,5.5
fabulous,7.8,3.3,5.25
splendid,7.8,3.3,5.16
positivism,7.8,3.3,4.86
compliment,7.79,3.29,4.52
outstandingly,7.79,3.29,5.28
great,7.79,3.29,4.74
prettiest,7.77,3.27,4.33
flawlessly,7.77,3.27,3.87
enjoying,7.76,3.26,6.32
enjoys,7.76,3.26,5.77
charming,7.76,3.26,4.83
enlightening,7.76,3.26,4.66
impressed,7.76,3.26,4.52
nice,7.76,3.26,4.61
pleasures,7.74,3.24,5.5
pleased,7.72,3.22,5.07
lovingly,7.72,3.22,7.19
grateful,7.72,3.22,6.13
inspires,7.72,3.22,4.86
favorite,7.72,3.22,4.68
high-quality,7.72,3.22,2.38
appreciate,7.72,3.22,4.92
beneficial,7.72,3.22,3.92
enjoyed,7.71,3.21,6.72
hilarious,7.71,3.21,6.38
godsend,7.71,3.21,5.21
warmheartedness,7.71,3.21,6.07
knowledgeable,7.71,3.21,2.5
welcoming,7.7,3.2,5.43
fascinating,7.7,3.2,5.4
cutest,7.7,3.2,4.63
gratitude,7.69,3.19,4.85
legendary,7.69,3.19,3.96
flavorful,7.69,3.19,3.41
priceless,7.69,3.19,2.78
dazzling,7.69,3.19,5.44
breathtaking,7.68,3.18,7.29
appreciative,7.68,3.18,6.21
cherish,7.68,3.18,5.94
glorious,7.68,3.18,5.78
feelgood,7.68,3.18,5.22
splendidly,7.68,3.18,5.03
admiration,7.68,3.18,6.17
pleasure,7.68,3.18,6.1
magnificence,7.68,3.18,5.59
enthusiastic,7.68,3.18,6.97
admire,7.67,3.17,6.17
zen,7.67,3.17,3.92
cleanest,7.66,3.16,2.54
treasured,7.65,3.15,5.07
luxurious,7.65,3.15,3.7
exhilarating,7.64,3.14,6.93
enchanting,7.64,3.14,6.59
friendliest,7.64,3.14,5.48
joys,7.64,3.14,5.26
ambitious,7.64,3.14,4.48
pure,7.64,3.14,3.89
praise,7.63,3.13,5.53
respectful,7.63,3.13,4.8
attractively,7.63,3.13,4.4
sweetest,7.63,3.13,5.92
vibrant,7.63,3.13,5.08
ideal,7.63,3.13,2.54
festive,7.62,3.12,5.15
firstclass,7.62,3.12,2.33
bliss,7.61,3.11,6.7
considerate,7.61,3.11,5.4
incredible,7.61,3.11,5.97
exquisite,7.6,3.1,5.03
exceptionally,7.6,3.1,3.96
success,7.6,3.1,3.53
inventive,7.6,3.1,2
affection,7.59,3.09,6.85
liked,7.59,3.09,4
warmly,7.59,3.09,5.19
appreciates,7.59,3.09,5
elegantly,7.59,3.09,4.7
genuinely,7.59,3.09,4.04
freshest,7.59,3.09,2.88
super,7.57,3.07,4.48
beaming,7.56,3.06,6.65
enjoyably,7.56,3.06,5.96
comfy,7.56,3.06,4.42
elegance,7.56,3.06,4.26
luxuriously,7.56,3.06,2.03
graciously,7.56,3.06,3.97
sincere,7.55,3.05,5.22
fortunate,7.55,3.05,3.67
exciting,7.55,3.05,6.97
ecstatic,7.54,3.04,7.07
passion,7.54,3.04,7.03
smiling,7.54,3.04,5.62
authentic,7.54,3.04,3.45
impeccable,7.53,3.03,4.27
enjoyable,7.52,3.02,6.58
celebrated,7.52,3.02,5.7
stunningly,7.52,3.02,5.04
sweet,7.52,3.02,4.48
pleasing,7.52,3.02,5.41
helpful,7.52,3.02,3.85
passionate,7.5,3,7.31
fascinated,7.5,3,5.37
blessed,7.5,3,5.17
stellar,7.5,3,5
splendor,7.5,3,4.87
amaze,7.48,2.98,6.47
eloquently,7.48,2.98,3.89
expertise,7.48,2.98,2.56
worthwhile,7.48,2.98,3.46
kindness,7.48,2.98,6.18
fulfilling,7.48,2.98,5.13
impressive,7.48,2.98,3.95
masterfully,7.48,2.98,3.11
intelligently,7.48,2.98,3.06
plentiful,7.48,2.98,2.89
expertly,7.48,2.98,1.93
sophisticated,7.48,2.98,1.76
fulfilled,7.47,2.97,4.58
glamorous,7.47,2.97,4.87
adorable,7.46,2.96,5.83
yumm,7.46,2.96,5.79
stunning,7.46,2.96,5.76
amazed,7.45,2.95,6.41
charmed,7.44,2.94,5.85
tenderheartedness,7.44,2.94,5.39
prosperous,7.44,2.94,3.68
abundant,7.43,2.93,2.93
marvelous,7.43,2.93,6.14
marvelously,7.43,2.93,5.93
admirably,7.43,2.93,5.03
calming,7.42,2.92,6.41
tranquility,7.42,2.92,5.13
glamourous,7.42,2.92,4.27
amiable,7.42,2.92,4.06
scrumptious,7.41,2.91,4.3
fondness,7.4,2.9,5.87
woohoo,7.4,2.9,5.87
rewarding,7.4,2.9,4.26
bright,7.4,2.9,3.48
skilled,7.4,2.9,2.97
sexy,7.39,2.89,6.41
charismatic,7.39,2.89,5.97
commendable,7.39,2.89,4.46
classy,7.39,2.89,4.23
charm,7.38,2.88,4.78
wholesome,7.38,2.88,2.93
yummy,7.37,2.87,3.65
inspired,7.36,2.86,5.84
upbeat,7.36,2.86,5.03
entertaining,7.36,2.86,4.87
artistic,7.36,2.86,3.45
mastery,7.36,2.86,2.84
ecofriendly,7.36,2.86,1.68
family-friendly,7.36,2.86,4.48
complimentary,7.36,2.86,3.83
elegant,7.36,2.86,3.79
skillful,7.36,2.86,2.31
wow,7.35,2.85,5.67
yay,7.35,2.88,6.34
greats,7.34,2.84,3.08
dreamy,7.33,2.83,5.68
superbly,7.33,2.83,4.69
sustainable,7.33,2.83,2.43
fond,7.32,2.82,5.66
terrifically,7.32,2.82,5.41
pleasantly,7.32,2.82,4.41
imaginative,7.32,2.82,4.19
relaxed,7.32,2.82,3.81
dependable,7.32,2.82,3.26
special,7.32,2.82,3.14
relaxing,7.31,2.81,3.44
complimented,7.31,2.81,4.19
clever,7.31,2.81,3.88
yum,7.31,2.81,3.74
professional,7.3,2.8,3.13
progressive,7.3,2.8,3.41
pleasant,7.29,2.79,5.73
tastefully,7.29,2.79,3.53
graceful,7.29,2.79,4.07
pristine,7.29,2.79,3.39
favs,7.29,2.79,2.6
energetic,7.28,2.78,4.88
refreshing,7.28,2.78,3.63
complement,7.28,2.78,3.55
hardworking,7.28,2.78,2.77
astounding,7.27,2.77,5.93
endearing,7.26,2.76,5.76
splendiferous,7.26,2.76,5.81
entertained,7.26,2.76,4.83
truly,7.26,2.76,2.77
sexiest,7.25,2.75,5.69
masterful,7.25,2.75,4.65
thoughtful,7.25,2.75,4.34
bountiful,7.25,2.75,3.93
proficient,7.25,2.75,2.58
efficiently,7.25,2.75,2.54
agreeable,7.24,2.74,3.44
versatile,7.24,2.74,2
embraced,7.24,2.74,5.55
witty,7.24,2.74,3.24
tastiest,7.24,2.74,2.74
intriguing,7.23,2.73,5.87
reassuring,7.23,2.73,5.33
captivated,7.22,2.72,5.42
patient,7.22,2.72,4.16
picturesque,7.22,2.72,4.57
captivating,7.21,2.71,5.97
wholeheartedly,7.21,2.71,5.41
wondrously,7.21,2.71,5.29
mouth-watering,7.21,2.71,4.97
warmth,7.21,2.71,4.45
durable,7.21,2.71,2.42
openhearted,7.2,2.7,6.42
amuse,7.2,2.7,5.2
calmness,7.2,2.7,4.96
groovy,7.2,2.7,4.9
engaging,7.2,2.7,4.8
serene,7.2,2.7,4.41
fresh,7.2,2.7,1.41
satisfying,7.19,2.69,5.73
gentle,7.19,2.69,4.15
immaculate,7.19,2.69,3.31
gratifying,7.17,2.67,4.96
supportive,7.16,2.66,5.24
sensational,7.16,2.66,5.07
lively,7.16,2.66,4.84
refreshingly,7.16,2.66,3.79
insightful,7.16,2.66,3.3
visionary,7.16,2.66,3.19
savory,7.16,2.66,3.85
delectable,7.15,2.65,4.38
deserving,7.13,2.63,4.7
affordable,7.13,2.63,1.93
calm,7.13,2.63,5.07
hottie,7.13,2.63,3.96
whimsical,7.12,2.62,4.07
well-crafted,7.12,2.62,2.21
well-equipped,7.12,2.62,1.87
electrifying,7.11,2.61,5.95
smartest,7.11,2.61,3.32
romantic,7.11,2.61,6.76
smartly,7.1,2.6,4.5
effective,7.1,2.6,3.1
coolest,7.1,2.6,5.1
efficient,7.1,2.6,2.66
warm,7.09,2.59,4.92
organized,7.09,2.59,1.81
fearless,7.08,2.58,5.21
playful,7.08,2.58,5
dreamlike,7.08,2.58,4.89
comfortable,7.08,2.58,4.87
complemented,7.08,2.58,4.3
well-appointed,7.08,2.58,1.35
grandness,7.07,2.57,3.73
thrilled,7.07,2.57,7.4
ideally,7.04,2.54,2.78
popular,7.04,2.54,1.97
complementary,7.04,2.54,3.48
attentive,7.04,2.54,3.41
recommendable,7.04,2.54,2.55
nicely,7.03,2.53,4.73
riveting,7.03,2.53,5.19
upscale,7.03,2.53,2.83
useful,7.02,2.52,2.59
elate,7,2.5,6.96
glad,7,2.5,6.41
alluring,7,2.5,6.03
sensual,7,2.5,5.84
comfortably,7,2.5,4.14
satisfies,7,2.5,4.04
cooperative,7,2.5,3.34
precise,7,2.5,3
enhances,7,2.5,2.58
enhanced,7,2.5,2.57
well,7,2.5,2.52
scholarly,7,2.5,1.89
liking,6.97,2.47,5
hospitable,6.97,2.47,3.81
stylishly,6.97,2.47,3.23
enthralled,6.97,2.47,6.79
succeeds,6.96,2.46,3.9
noteworthy,6.96,2.46,2.9
tiptop,6.96,2.46,2.33
mindblowing,6.96,2.46,6.74
cool,6.96,2.46,3.9
strongest,6.96,2.46,3.81
powerful,6.93,2.43,4.93
awe,6.92,2.42,6.58
adventurous,6.92,2.42,4.63
gently,6.92,2.42,4.47
approachable,6.92,2.42,3.58
lustrous,6.92,2.42,3.14
informative,6.92,2.42,2.7
notable,6.92,2.42,1.52
jovial,6.91,2.41,6.74
irresistible,6.89,2.39,5.69
well-run,6.89,2.39,2
grand,6.88,2.38,3.42
unique,6.88,2.38,3.29
preferred,6.88,2.38,3.24
famous,6.88,2.38,1.69
sturdy,6.88,2.38,0.93
ingenious,6.88,2.38,3.76
thought-provoking,6.87,2.37,3.77
unparalleled,6.87,2.37,3.65
effortlessly,6.87,2.37,3.3
vivacious,6.87,2.42,5.45
stimulating,6.87,2.37,5.57
flavorsome,6.87,2.37,3.9
inviting,6.86,2.36,4.55
fashionable,6.86,2.36,3.21
cleanly,6.86,2.36,1.79
romanticist,6.84,2.34,5.69
celestial,6.84,2.34,3.85
tasteful,6.84,2.34,3.47
delectability,6.84,2.36,4.38
entrancing,6.83,2.33,6.17
tremendous,6.83,2.33,5.97
painless,6.83,2.33,3.57
iconic,6.83,2.33,3.27
delish,6.83,2.33,3.39
advantage,6.83,2.33,2.81
memorable,6.82,2.32,4.76
mighty,6.82,2.32,4.21
personable,6.82,2.32,3.93
richest,6.81,2.31,2.81
originative,6.81,2.31,1.97
revolutionary,6.81,2.31,4.31
tenderness,6.8,2.3,6.74
awed,6.8,2.3,6.04
eager,6.8,2.3,5.67
invigorate,6.8,2.3,5.39
likes,6.8,2.3,5.11
satisfy,6.8,2.3,4.28
shines,6.8,2.3,2.58
rad,6.79,2.29,4.23
bubbly,6.78,2.28,6.62
sophisticate,6.78,2.28,2.65
dynamic,6.77,2.27,4.1
astound,6.76,2.26,5.37
satisfied,6.76,2.26,5.1
cleverly,6.76,2.26,3.85
purity,6.76,2.26,3.32
importantly,6.76,2.26,3.07
comprehensive,6.76,2.26,1.87
spotless,6.76,2.26,1.42
glamour,6.75,2.25,3.41
articulately,6.75,2.25,2.35
accommodating,6.74,2.24,3.87
giddy,6.72,2.22,6.58
mesmerizing,6.72,2.22,4.82
well-kept,6.72,2.22,2.45
uniquely,6.72,2.22,2.73
firstrate,6.71,2.21,2.84
coordinated,6.71,2.21,2.29
expressive,6.7,2.2,4.24
succulent,6.7,2.2,4.83
luscious,6.69,2.19,4.73
calmer,6.69,2.19,5.31
savored,6.69,2.19,4
scenic,6.69,2.19,3.08
bon,6.68,2.22,3
improved,6.68,2.18,2.76
professionally,6.68,2.18,2.52
richness,6.68,2.18,2.41
active,6.68,2.18,2.03
tantalizing,6.68,2.18,5.34
handy,6.68,2.18,2.55
utmost,6.66,2.16,3.46
regal,6.66,2.19,3.12
easy,6.65,2.15,2.76
pageturner,6.64,2.14,3.55
neatly,6.64,2.14,2.59
thrilling,6.64,2.14,6.68
timeless,6.64,2.14,3.05
aromatic,6.64,2.14,2.34
highend,6.63,2.13,3.03
mature,6.63,2.13,2.96
unspoiled,6.61,2.11,2.8
advantageously,6.61,2.17,3.7
humble,6.6,2.1,5.08
savor,6.6,2.1,4.06
easily,6.6,2.1,1.81
worth,6.59,2.09,2.81
significance,6.59,2.09,2.43
distinguished,6.59,2.09,3.93
jazzy,6.58,2.08,3.33
aww,6.57,2.07,5.93
soulful,6.57,2.07,5.28
luxe,6.57,2.1,2.59
relief,6.56,2.06,6.15
softheartedness,6.56,2.06,5.59
tasty,6.56,2.06,3
nifty,6.56,2.06,2.81
essential,6.56,2.06,2.66
orderly,6.56,2.06,2.13
tremendously,6.56,2.06,4.46
smooth,6.56,2.06,2.24
intrigued,6.55,2.08,5.42
proud,6.52,2.02,5.65
easier,6.52,2.02,1.97
exceeds,6.52,2.02,2.9
consistently,6.52,2.02,2.17
affable,6.52,2.14,4
lusciously,6.5,2,5.07
humbled,6.5,2,4.96
sumptuous,6.5,2.03,4.78
fancier,6.5,2,3.93
ethereal,6.5,2.03,3.92
colorful,6.5,2,3.41
refined,6.48,1.98,3.11
humbling,6.48,1.98,6.13
sincerity,6.48,1.98,4.87
richly,6.48,1.98,2.67
richer,6.46,1.96,2.69
maintained,6.45,1.95,1.41
sensible,6.43,1.93,3.72
silky,6.42,1.92,2.38
absolutely,6.41,1.91,2.57
mesmerized,6.4,1.9,5.13
delicately,6.4,1.9,3.97
glistening,6.4,1.9,3.06
immaculately,6.4,1.9,2.79
sparkly,6.4,1.9,2.77
neat,6.39,1.89,2.97
contented,6.39,1.89,6
cordial,6.37,1.95,2.96
zest,6.36,1.89,3.77
keen,6.36,1.86,3.44
modest,6.36,1.86,4.03
chic,6.36,1.86,2.11
classic,6.36,1.86,1.55
straightforward,6.36,1.86,2.83
natural,6.36,1.86,1.66
practical,6.35,1.85,2.4
mellow,6.33,1.83,5.2
structured,6.33,1.83,1.81
virtuoso,6.32,1.82,3.03
peppy,6.32,1.82,4.63
lighthearted,6.29,1.79,5.5
quintessential,6.28,1.78,3.63
exceeding,6.28,1.78,3.04
surprisingly,6.28,1.78,4.38
invaluable,6.28,1.78,3.42
zesty,6.27,1.77,4.69
presidential,6.26,1.76,1.68
ample,6.26,1.76,2.63
favored,6.25,1.75,3.76
surpasses,6.25,1.75,3
stylish,6.24,1.74,2.32
manageable,6.24,1.74,1.71
muscular,6.24,1.74,0.86
meticulous,6.23,1.73,3.93
good-sized,6.21,1.71,2.45
virtuousness,6.2,1.7,3.93
timely,6.2,1.7,1.84
tantalize,6.19,1.69,4.84
mystical,6.19,1.69,3.9
craftiness,6.19,1.69,3.62
fastest,6.18,1.68,1.59
prefer,6.16,1.66,2.74
doable,6.15,1.65,2
lush,6.15,1.65,3.79
lavish,6.14,1.64,4.25
potent,6.14,1.64,3.72
evenhandedly,6.14,1.64,2.44
effortless,6.13,1.63,2.7
entranced,6.12,1.62,5.1
zippy,6.12,1.62,3.04
quick,6.12,1.62,1.58
faster,6.11,1.61,1.34
standout,6.11,1.61,2.76
scintillating,6.1,1.6,5.12
spontaneous,6.1,1.6,4.8
finely,6.09,1.59,2.44
ambient,6.09,1.62,3.21
fanciest,6.08,1.58,2.14
quietness,6.08,1.58,1.31
sleek,6.07,1.57,2.34
erotic,6.07,1.57,6.79
spunky,6.07,1.57,5.07
striking,6.07,1.57,5.8
climactic,6.07,1.57,5.5
engrossing,6.04,1.54,4.56
softer,6.04,1.54,2.51
spellbinding,6.03,1.53,4.88
liberation,6,1.5,4.66
unforgettable,6,1.5,4.61
indispensable,6,1.5,3.65
voluptuous,6,1.53,3.5
chicness,6,1.5,2.83
reachable,6,1.5,2.33
reasonably-priced,6,1.5,2
opulent,5.97,1.79,2.63
extravagant,5.97,1.47,5.3
sporty,5.97,1.47,2.41
faultless,5.96,1.46,3
robust,5.96,1.46,2.92
seductive,5.93,1.43,5.76
sublime,5.9,1.4,4.23
reverential,5.9,1.47,3.54
eclectic,5.9,1.4,3.83
opulence,5.89,1.72,3.55
leisurely,5.88,1.38,3.03
knack,5.87,1.37,1.96
meticulously,5.86,1.36,2.75
gigantic,5.84,1.34,2.42
unpretentious,5.81,1.31,2.81
cosmopolitan,5.8,1.3,1.55
uncrowded,5.8,1.3,1.13
thrill,5.76,1.26,5.93
quieter,5.74,1.24,2.37
techy,5.69,1.19,1.58
laidback,5.68,1.18,3
convincingly,5.68,1.18,2.28
pivotal,5.68,1.18,3.27
immense,5.66,1.16,3.72
unobtrusive,5.66,1.16,3.53
surprised,5.64,1.14,5.48
seamless,5.64,1.14,2.48
vast,5.63,1.13,1.79
quiet,5.6,1.1,1.83
swanky,5.59,1.09,3.68
nostalgic,5.52,1.02,6.9
crispy,5.5,1,1.6
unbeatable,5.48,0.98,3.62
tireless,5.48,0.98,3.42
unequaled,5.36,0.86,2.1
instructional,5.36,0.86,1.77
canny,5.34,0.91,3.35
quirky,5.33,0.83,3.73
immersed,5.33,0.83,3.6
comely,5.33,1.44,3.2
inexpensive,5.33,0.83,1.24
competitive,5.32,0.82,5.04
ahhhh,5.24,0.74,5.8
alike,5.24,0.74,2.04
theatrical,5.23,0.73,5.27
feel,5.2,0.7,6.42
propel,5.16,0.66,2.07
pampered,5.14,0.64,4.1
feisty,5.12,0.62,5.34
poignant,5.11,0.86,4.3
watchful,5.08,0.58,2.23
plushy,5.08,0.58,1.64
tempting,5.07,0.57,5.45
sensitive,5.04,0.54,5.83
esoteric,5,0.5,3.2
bustling,5,0.69,2.68
traditional,4.97,0.47,2.27
hankering,4.94,0.44,4.33
spectacle,4.94,0.44,3.23
formidable,4.93,0.43,4.27
eccentric,4.92,0.42,3.95
spicy,4.92,0.42,3.19
challenging,4.84,0.34,3.94
lofty,4.83,0.92,2.97
dainty,4.82,0.5,3.4
discrete,4.78,0.28,2.14
heady,4.77,0.56,2.69
splurged,4.76,0.26,2.52
minimalistic,4.75,0.25,2.41
gilded,4.75,0.53,1.88
tangy,4.72,0.22,1.38
talkative,4.68,0.18,2.23
conventional,4.68,0.18,1.69
subtle,4.64,0.14,2.76
decadent,4.61,0.53,4.9
innervation,4.6,0.78,4
homey,4.6,0.1,3.32
pollyannaish,4.58,1.17,5.41
discretion,4.48,0.02,2.06
concerned,4.44,0.06,5.76
obvious,4.43,0.07,1.97
profuse,4.42,0.08,3.77
deliberately,4.41,0.09,3.18
unbelievable,4.4,0.1,4.74
jacked,4.4,0.1,3.87
serious,4.36,0.14,4.81
hmmm,4.33,0.17,2.15
endlessly,4.32,0.18,2.3
average,4.32,0.18,2.11
blunt,4.28,0.22,4.5
extreme,4.28,0.22,4.58
bearable,4.28,0.22,4.45
ambiguous,4.28,0.22,3.11
predictable,4.26,0.24,3.17
flush,4.24,0.26,3.18
capricious,4.23,0.82,4.42
derivative,4.19,0.31,1.52
basic,4.13,0.38,1.35
sorry,4.1,0.4,5.3
utterly,4.07,0.43,3.26
excessively,3.97,0.53,3.46
precipitous,3.97,0.53,2.96
trivial,3.89,0.61,3.38
sporadic,3.89,0.61,1.62
hullabaloo,3.88,1.2,3.83
lax,3.85,0.83,2.46
fictitious,3.82,0.68,1.78
exorbitant,3.79,1.26,5.24
weird,3.78,0.72,4.51
indifferent,3.75,0.75,3.07
insisting,3.71,0.79,4
exaggerate,3.68,0.82,3.67
nonsensical,3.64,0.86,3.19
lengthy,3.63,0.87,1.73
antiquated,3.62,0.88,2.87
superstitious,3.61,0.89,4.34
vaguely,3.61,0.89,1.34
mushy,3.56,0.94,6.37
gamey,3.56,0.94,2.43
pretends,3.56,0.94,2.35
blithely,3.53,1.58,4.93
contention,3.52,0.98,4.86
eh,3.52,0.98,2.9
archaic,3.52,0.98,2.44
loosely,3.52,0.98,1.74
indistinct,3.5,1,2.17
puzzling,3.48,1.02,3.8
inglorious,3.48,1.02,4.57
cheap,3.47,1.03,3.13
meh,3.46,1.04,2.88
inflated,3.44,1.06,2.1
judgement,3.44,1.06,3.31
pale,3.43,1.07,1.93
shocked,3.4,1.1,6.37
restraining,3.4,1.1,3.84
remorse,3.37,1.13,6.37
rigid,3.36,1.14,3.74
boast,3.36,1.14,4.38
exaggerated,3.34,1.16,4.59
inexplicable,3.32,1.18,3.37
judge,3.31,1.19,3.04
outrageous,3.31,1.19,6.35
soupy,3.28,1.22,1.23
interminably,3.26,1.35,2.07
jittery,3.21,1.29,4.66
mediocre,3.21,1.29,3.34
amateur,3.21,1.29,2.21
jumpy,3.21,1.29,4.63
laborious,3.19,1.44,3.54
lamentably,3.19,1.31,5.29
flighty,3.16,1.34,4.6
apathetic,3.15,1.53,4.48
abrupt,3.13,1.37,4.17
marginally,3.13,1.37,2.33
bizarre,3.12,1.38,4.11
militant,3.12,1.38,3.11
redundant,3.11,1.39,2.07
intemperately,3.1,1.53,3.2
incessantly,3.1,1.44,3.89
uneven,3.1,1.4,2
overconfident,3.04,1.46,4.22
disbelief,3.04,1.46,5.11
awkward,3.04,1.46,4.68
tired,3.04,1.46,3
intemperate,3.03,1.47,3.54
bragging,3,1.5,4.72
needless,3,1.5,3.65
boiling,3,1.5,3.5
unbelieving,3,1.5,3.13
costly,3,1.5,2.03
juvenile,2.97,1.53,3.69
bland,2.97,1.53,3.43
excessive,2.97,1.53,3.81
defensive,2.96,1.54,6.24
childish,2.96,1.54,5.19
unfortunately,2.93,1.57,3.17
overrate,2.93,1.57,3.03
dodgy,2.93,1.57,4.46
softheaded,2.93,1.57,4.1
exaggerating,2.92,1.58,3.59
less,2.92,1.58,1.19
uneventful,2.91,1.59,1.85
awkwardly,2.88,1.62,4.66
confusing,2.88,1.62,4.19
roughly,2.88,1.62,3.11
obsessional,2.88,1.71,5.68
unseasoned,2.88,1.63,1.27
erratic,2.87,1.63,5.27
outlandish,2.87,1.63,5.67
unremarkable,2.87,1.63,3.4
contrary,2.87,1.63,2.73
hasty,2.86,1.64,4.7
ridiculous,2.85,1.65,4.77
lackadaisical,2.85,1.65,3.57
contrived,2.85,1.74,4.09
fuddled,2.85,1.65,4.31
slow,2.84,1.66,2.44
dubious,2.84,1.66,4.38
objectionable,2.84,1.66,3.24
outweighed,2.84,1.66,1
hard,2.84,1.66,2.8
skimpy,2.84,1.66,2.77
naive,2.82,1.68,3.48
salacious,2.81,1.78,4.64
questionable,2.8,1.7,3.13
spotty,2.8,1.7,2.5
vehement,2.79,1.74,5.85
fruitless,2.79,1.71,3.03
declined,2.79,1.71,2.69
impractical,2.79,1.71,2.17
irregular,2.78,1.72,2.04
authoritarian,2.78,1.72,3.66
baffling,2.77,1.73,5.13
miniscule,2.77,1.73,2.4
vacuous,2.76,1.74,3.81
outdated,2.76,1.74,2.03
undue,2.76,1.74,1.45
instigate,2.75,1.75,3.61
dopy,2.74,1.76,4.27
shockingly,2.72,1.78,6.89
exhausted,2.71,1.79,4.31
mistakenly,2.71,1.79,2.21
muddy,2.71,1.79,1.82
unnecessary,2.71,1.79,2.3
unclear,2.71,1.79,1.8
absent,2.7,1.8,2.18
unlikely,2.7,1.8,2.67
avoided,2.69,1.81,3.22
bothered,2.68,1.82,5.48
testy,2.68,1.82,4.97
offense,2.68,1.82,4.45
lacking,2.68,1.82,3.31
meager,2.68,1.82,3.17
tenuous,2.66,1.84,4.29
overworked,2.64,1.86,3.86
unsubstantial,2.64,1.86,1.83
stupefying,2.63,1.87,4.97
amateurish,2.63,1.88,3.08
misanthropic,2.62,2.4,4.5
mundane,2.62,1.88,2.96
lumpy,2.62,1.88,1.5
blandish,2.62,1.88,2.94
morose,2.61,1.89,5.31
immobile,2.61,1.89,1.7
mistake,2.61,1.89,2.59
confused,2.6,1.9,4.9
stereotypical,2.6,1.9,3.26
desperately,2.59,1.91,7.65
lambaste,2.59,1.94,5.37
distracting,2.58,1.92,3.6
erroneously,2.58,1.95,2.71
pallid,2.58,1.95,2.83
boring,2.57,1.93,4.69
uncomprehensible,2.57,1.93,2.59
judging,2.56,1.94,4.06
marred,2.56,1.94,3.16
lamentable,2.56,1.94,5.47
